,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Mean score,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Score dif.,S.E.,Coef.,S.E.,p-value,Coef.,S.E.,Coef.,S.E.
OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,m,m,m,m,312,"(1,2)",372,"(0,8)",388,"(0,8)",402,"(1,0)",407,"(0,8)",m,m,m,m,95,"(5,4)",35,"(3,7)",20,"(3,9)",5,"(4,1)","21,9","(1,3)","0,000 ","-3,1","(0,3)","-0,9","(0,0)"
Romania,m,m,m,m,396,"(4,7)",424,"(4,1)",438,"(4,0)",434,"(4,1)",428,"(5,1)",m,m,m,m,32,"(8,7)",3,"(7,5)",-10,"(7,5)",-6,"(7,6)","7,2","(1,9)","0,000 ","-5,8","(1,7)","-0,7","(0,1)"
Russia,462,"(4,2)",442,"(3,9)",440,"(4,3)",459,"(3,3)",475,"(3,0)",495,"(3,1)",479,"(3,1)",17,"(6,6)",36,"(9,2)",39,"(7,5)",19,"(5,7)",3,"(5,7)",-16,"(5,9)","6,8","(1,4)","0,000 ","5,1","(0,8)","0,2","(0,0)"
Saudi Arabia,m,m,m,m,m,m,m,m,m,m,m,m,399,"(3,0)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
Serbia,m,m,m,m,401,"(3,5)",442,"(2,4)",446,"(3,4)",m,m,439,"(3,3)",m,m,m,m,38,"(7,1)",-3,"(5,4)",-7,"(6,0)",m,m,"7,7","(1,6)","0,000 ",m,m,m,m
Singapore,m,m,m,m,m,m,526,"(1,1)",542,"(1,4)",535,"(1,6)",549,"(1,6)",m,m,m,m,m,m,24,"(4,0)",7,"(4,3)",14,"(4,5)","6,4","(1,4)","0,000 ",m,m,m,m
Chinese Taipei,m,m,m,m,496,"(3,4)",495,"(2,6)",523,"(3,0)",497,"(2,5)",503,"(2,8)",m,m,m,m,6,"(6,8)",7,"(5,2)",-21,"(5,6)",6,"(5,5)","1,5","(1,6)","0,339 ","-3,4","(1,1)","-0,3","(0,1)"
Thailand,431,"(3,2)",420,"(2,8)",417,"(2,6)",421,"(2,6)",441,"(3,1)",409,"(3,3)",393,"(3,2)",-38,"(6,1)",-27,"(8,9)",-24,"(6,7)",-28,"(5,5)",-48,"(5,8)",-16,"(6,1)","-4,1","(1,4)","0,003 ","-5,3","(0,7)","-0,2","(0,0)"
Ukraine,m,m,m,m,m,m,m,m,m,m,m,m,466,"(3,5)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m
United Arab Emirates,m,m,m,m,m,m,431,"(2,9)",442,"(2,5)",434,"(2,9)",432,"(2,3)",m,m,m,m,m,m,0,"(5,1)",-10,"(5,1)",-2,"(5,4)","-0,7","(2,2)","0,738 ",m,m,m,m
Uruguay,m,m,434,"(3,4)",413,"(3,4)",426,"(2,6)",411,"(3,2)",437,"(2,5)",427,"(2,8)",m,m,-7,"(8,9)",15,"(6,8)",1,"(5,2)",16,"(5,6)",-9,"(5,4)","0,6","(1,4)","0,656 ","3,4","(0,8)","0,2","(0,1)"
Viet Nam,m,m,m,m,m,m,m,m,508,"(4,4)",487,"(3,7)",m,m,m,m,m,m,m,m,m,m,m,m,m,m,"-21,4","(6,1)","0,000 ",m,m,m,m
